"phylum","genus","mean.difference (MA - US)","se","effect.size (MA - US)","p.val","q.val","diff.abn","struc.zero.MA","struc.zero.US"
"p__Bacteroidetes","p__Bacteroidetes;g__Cyclobacterium",-0.133229891513559,0,Inf,0,0,TRUE,1,0
"p__Bacteroidetes","p__Bacteroidetes;g__Dyadobacter",-0.116219516805698,0,Inf,0,0,TRUE,1,0
"p__Bacteroidetes","p__Bacteroidetes;g__Pedobacter",-0.197347682272207,0,Inf,0,0,TRUE,1,0
"p__Proteobacteria","p__Proteobacteria;g__Helicobacter",1.49266448987187,0,Inf,0,0,TRUE,0,1
"p__Proteobacteria","p__Proteobacteria;g__Paucibacter",-0.34218184049594,0,Inf,0,0,TRUE,1,0
"p__Proteobacteria","p__Proteobacteria;g__Ralstonia",-0.417001633399327,0,Inf,0,0,TRUE,1,0
"p__Proteobacteria","p__Proteobacteria;g__Sphaerotilus",-0.357121773559798,0,Inf,0,0,TRUE,1,0
"p__Firmicutes","p__Firmicutes;g__Anaerotruncus",-4.29573849307451,0.123243222803312,-34.855778641315,3.48041204485986e-266,5.95150459671036e-264,TRUE,0,0
"p__Tenericutes","p__Tenericutes;g__Holdemania",-4.1503778266013,0.130754692916912,-31.7417121635447,4.13193961027843e-221,7.06561673357612e-219,TRUE,0,0
"p__Tenericutes","p__Tenericutes;g__Coprobacillus",-4.56031074663234,0.145379720873175,-31.3682728185357,5.48220964369118e-216,9.37457849071191e-214,TRUE,0,0
"p__Bacteroidetes","p__Bacteroidetes;g__Alistipes",-5.84031236678355,0.24600807861029,-23.7403275525573,1.38298242523078e-124,2.36489994714463e-122,TRUE,0,0
"p__Bacteroidetes","p__Bacteroidetes;g__Prevotella",6.13048559915765,0.274878257332987,22.3025482576863,3.49047596368207e-110,5.96871389789634e-108,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Succinivibrio",6.81361741987026,0.319234432982208,21.3436168405117,4.46994978126889e-101,7.6436141259698e-99,TRUE,0,0
"p__Bacteroidetes","p__Bacteroidetes;g__Bacteroides",-4.22944648477939,0.209667965405751,-20.1721158336922,1.72115325769052e-90,2.94317207065079e-88,TRUE,0,0
"p__Actinobacteria","p__Actinobacteria;g__Eggerthella",-4.22252832722851,0.216509382314588,-19.5027498674084,1.040355771161e-84,1.77900836868531e-82,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Veillonella",4.46538729526852,0.234452138734505,19.0460505899891,7.08501450803585e-81,1.21153748087413e-78,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Anaerofustis",-1.72717055138283,0.0977232439000061,-17.6741017024581,6.63894594762001e-70,1.13525975704302e-67,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Campylobacter",5.08177688169066,0.299982548432212,16.9402417182245,2.27189228436238e-64,3.88493580625966e-62,TRUE,0,0
"p__Verrucomicrobia","p__Verrucomicrobia;g__Akkermansia",-4.83566407067585,0.293459277478769,-16.4781434487982,5.26778073034796e-61,9.00790504889501e-59,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Haemophilus",3.46290365280565,0.210498795144111,16.4509428685085,8.25727300907583e-61,1.41199368455197e-58,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Sarcina",4.86462762837905,0.302055774894572,16.1050641394854,2.3505417426482e-58,4.01942637992841e-56,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Phascolarctobacterium",-3.92344610976162,0.245785677635121,-15.9628752477032,2.31802022304185e-57,3.96381458140156e-55,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Weissella",3.56241298268254,0.223868579880467,15.9129654754797,5.15145280727574e-57,8.80898430044151e-55,TRUE,0,0
