"otu.names","W_stat","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"p__Actinobacteria;g__Actinomyces",143,FALSE,TRUE,TRUE,TRUE
"p__Actinobacteria;g__Alloscardovia",131,FALSE,FALSE,TRUE,TRUE
"p__Actinobacteria;g__Arcanobacterium",123,FALSE,FALSE,TRUE,TRUE
"p__Actinobacteria;g__Arthrobacter",133,FALSE,FALSE,TRUE,TRUE
"p__Actinobacteria;g__Atopobium",142,FALSE,TRUE,TRUE,TRUE
"p__Actinobacteria;g__Eggerthella",163,TRUE,TRUE,TRUE,TRUE
"p__Actinobacteria;g__Gardnerella",119,FALSE,FALSE,TRUE,TRUE
"p__Actinobacteria;g__Kocuria",148,FALSE,TRUE,TRUE,TRUE
"p__Actinobacteria;g__Mobiluncus",140,FALSE,TRUE,TRUE,TRUE
"p__Actinobacteria;g__Olsenella",129,FALSE,FALSE,TRUE,TRUE
"p__Actinobacteria;g__Parascardovia",124,FALSE,FALSE,TRUE,TRUE
"p__Actinobacteria;g__Renibacterium",129,FALSE,FALSE,TRUE,TRUE
"p__Actinobacteria;g__Rothia",154,TRUE,TRUE,TRUE,TRUE
"p__Actinobacteria;g__Serinicoccus",129,FALSE,FALSE,TRUE,TRUE
"p__Actinobacteria;g__Slackia",154,TRUE,TRUE,TRUE,TRUE
"p__Actinobacteria;g__Varibaculum",148,FALSE,TRUE,TRUE,TRUE
"p__Bacteroidetes;g__Alistipes",170,TRUE,TRUE,TRUE,TRUE
"p__Bacteroidetes;g__Bacteroides",164,TRUE,TRUE,TRUE,TRUE
"p__Bacteroidetes;g__Candidatus Azobacteroides",136,FALSE,FALSE,TRUE,TRUE
"p__Bacteroidetes;g__Dysgonomonas",160,TRUE,TRUE,TRUE,TRUE
"p__Bacteroidetes;g__Odoribacter",165,TRUE,TRUE,TRUE,TRUE
"p__Bacteroidetes;g__Parabacteroides",164,TRUE,TRUE,TRUE,TRUE
"p__Bacteroidetes;g__Porphyromonas",123,FALSE,FALSE,TRUE,TRUE
