	Intercept	country[T.US]
p__Bacteroidetes;g__Alistipes	6.391201223	4.237817233
p__Tenericutes;g__Holdemania	2.144406404	4.197704261
p__Bacteroidetes;g__Bacteroides	8.289365615	4.082053607
p__Bacteroidetes;g__Parabacteroides	6.301040734	3.966353601
p__Proteobacteria;g__Bilophila	4.168963756	3.747650331
p__Actinobacteria;g__Eggerthella	3.004072274	3.701404994
p__Firmicutes;g__Anaerotruncus	2.274273481	3.693775361
p__Firmicutes;g__Phascolarctobacterium	4.444243755	3.664984649
p__Verrucomicrobia;g__Akkermansia	6.298994626	3.595642989
p__Bacteroidetes;g__Odoribacter	3.783600415	3.499449676
p__Tenericutes;g__Coprobacillus	3.536143865	3.238588756
p__Firmicutes;g__Dehalobacterium	1.367354001	3.071484988
p__Firmicutes;g__Turicibacter	5.517705287	2.851455396
p__Bacteroidetes;g__Sphingobacterium	-1.568358336	2.813956683
p__Firmicutes;g__Eubacterium	6.590517964	2.802819436
p__Proteobacteria;g__Paucibacter	-2.550480758	2.751230901
p__Synergistetes;g__Cloacibacillus	0.250406827	2.564089959
p__Proteobacteria;g__Acidovorax	-1.589049254	2.541645115
p__Firmicutes;g__Acidaminococcus	4.886213864	2.536426967
p__Firmicutes;g__Ruminococcus	9.306990112	2.520371979
p__Actinobacteria;g__Varibaculum	2.009539212	2.516378468
p__Actinobacteria;g__Alloscardovia	-0.574554358	2.487467712
p__Proteobacteria;g__Herbaspirillum	-1.992053901	2.399205869
p__Euryarchaeota;g__Methanobrevibacter	4.521180953	2.365870779
p__Proteobacteria;g__Sphaerotilus	-2.311529075	2.358507102
p__Firmicutes;g__Anaerofustis	0.923169698	2.351249641
p__Bacteroidetes;g__Pedobacter	-3.201720153	2.34977383
p__Proteobacteria;g__Desulfovibrio	5.289494599	2.313084548
p__Proteobacteria;g__Klebsiella	6.95115533	2.293549483
p__Actinobacteria;g__Mobiluncus	-0.688590918	2.278500264
p__Proteobacteria;g__Phenylobacterium	-2.580163871	2.251874989
p__Bacteroidetes;g__Dysgonomonas	-0.011618529	2.228425568
p__Tenericutes;g__Clostridium	7.766533579	2.223784512
p__Proteobacteria;g__Pseudomonas	1.128907289	2.171028679
p__Proteobacteria;g__Ralstonia	-1.985612784	2.160746043
p__Firmicutes;g__Epulopiscium	3.952227201	2.122665947
p__Firmicutes;g__Acetivibrio	-2.594214354	2.110357588
p__Proteobacteria;g__Methylobacterium	-1.585051452	2.027809089
p__Proteobacteria;g__Methylibium	-1.721237098	2.01452369
p__Proteobacteria;g__Novosphingobium	-2.968882476	1.997244304
p__Firmicutes;g__Oscillospira	8.199090357	1.996982401
p__Proteobacteria;g__Citrobacter	1.205605592	1.989610141
p__Firmicutes;g__Peptoniphilus	3.087368096	1.968006437
p__Synergistetes;g__Synergistes	-0.395621215	1.952299898
p__Proteobacteria;g__Leclercia	-0.405416404	1.938252037
p__Proteobacteria;g__Desulfomicrobium	-2.843490516	1.918735331
p__Firmicutes;g__Roseburia	9.370281304	1.905408328
p__Actinobacteria;g__Olsenella	3.275768842	1.825619763
p__Bacteroidetes;g__Cyclobacterium	-3.239090834	1.802407687
p__Proteobacteria;g__Vogesella	-2.964801703	1.721902733
p__Bacteroidetes;g__Candidatus Azobacteroides	-1.718367492	1.713330691
p__Proteobacteria;g__Nitrosomonas	-1.714647208	1.667271023
p__Proteobacteria;g__Aquamonas	0.22790965	1.663926428
p__Synergistetes;g__Jonquetella	-1.719473754	1.661702996
p__Firmicutes;g__Anaerovorax	0.308960523	1.659781223
p__Firmicutes;g__Clostridium	9.791299905	1.659513002
p__Proteobacteria;g__Thauera	-2.327705298	1.638940518
p__Firmicutes;g__Blautia	8.553228583	1.632666772
p__Actinobacteria;g__Slackia	3.60041007	1.621609872
p__Tenericutes;g__Allobaculum	-2.73933116	1.612812524
p__Firmicutes;g__Peptococcus	3.794128503	1.609607642
p__Proteobacteria;g__Trabulsiella	-3.011995231	1.584569817
p__Firmicutes;g__Shuttleworthia	-0.617221747	1.576373404
p__Firmicutes;g__Dorea	6.772552456	1.576257175
p__Fusobacteria;g__J2-29	2.27273282	1.571892803
p__Firmicutes;g__Oribacterium	1.718067254	1.527774578
p__Proteobacteria;g__Sphingomonas	-1.766531859	1.524555212
p__Proteobacteria;g__Averyella	-1.968495284	1.513454383
p__Proteobacteria;g__Rhizobium	-1.50107566	1.487966543
p__Actinobacteria;g__Collinsella	6.881352271	1.487372404
p__Firmicutes;g__Coprococcus	8.569963123	1.483686393
p__Firmicutes;g__Lachnospira	8.212626691	1.473833089
p__Synergistetes;g__Pyramidobacter	-0.827592765	1.45421434
p__Firmicutes;g__Lachnobacterium	7.011265542	1.441490179
p__Actinobacteria;g__Actinomyces	3.971470918	1.421604281
p__Firmicutes;g__Finegoldia	2.164651956	1.420434003
p__Firmicutes;g__Anaerococcus	2.975625123	1.390222018
p__Bacteroidetes;g__Dyadobacter	-3.200450812	1.362993603
p__Firmicutes;g__Faecalibacterium	10.6994923	1.358577555
p__Proteobacteria;g__Erwinia	3.580949868	1.350347226
p__Proteobacteria;g__Hyphomicrobium	-3.436483298	1.30617786
p__Proteobacteria;g__Agrobacterium	-2.954991256	1.244944399
p__Proteobacteria;g__Leptothrix	-3.455373679	1.233405446
p__Actinobacteria;g__Parascardovia	-1.241620932	1.206321006
p__Proteobacteria;g__Pantoea	1.994583215	1.191344863
p__Actinobacteria;g__Scardovia	1.336783017	1.181799089
p__Proteobacteria;g__Providencia	0.856082524	1.175651347
p__Proteobacteria;g__Achromobacter	-2.148697768	1.160215771
p__Firmicutes;g__Tepidibacter	-3.36265174	1.158966338
p__Proteobacteria;g__Tepidimonas	-3.386629973	1.147971576
p__Firmicutes;g__Anaerostipes	3.375680055	1.143687909
p__Firmicutes;g__Melissococcus	0.141848172	1.132929092
p__Proteobacteria;g__Aquabacterium	-3.562628661	1.103457248
p__Proteobacteria;g__Sutterella	7.392898049	1.096842592
p__Actinobacteria;g__Atopobium	3.481427755	1.089966928
p__Proteobacteria;g__Buttiauxella	1.407529916	1.069795077
p__Proteobacteria;g__Delftia	-3.171329413	1.061088627
p__Proteobacteria;g__Oxalobacter	3.374496068	1.056145614
p__Proteobacteria;g__Brevundimonas	-3.502113257	1.052747255
p__Bacteroidetes;g__Porphyromonas	2.706387128	1.034353545
p__Firmicutes;g__Paenibacillus	0.112737741	1.033984622
p__Synergistetes;g__TG5	-3.283417617	1.022700494
p__Bacteroidetes;g__Aquiflexum	-3.57736579	0.991360178
p__Firmicutes;g__Desulfitobacterium	0.08775195	0.978457814
p__Proteobacteria;g__Raoultella	0.938626374	0.977712905
p__Proteobacteria;g__Shewanella	-2.988811408	0.970826363
p__Firmicutes;g__Trichococcus	-0.809637938	0.947819387
p__Proteobacteria;g__Brachymonas	-1.651563559	0.947800999
p__Actinobacteria;g__Adlercreutzia	5.97891828	0.935472792
p__Proteobacteria;g__Polaromonas	-3.352380668	0.930653265
p__Proteobacteria;g__Morganella	1.184401597	0.905952377
p__Firmicutes;g__Salinicoccus	0.578527059	0.89365202
p__Proteobacteria;g__Dickeya	-3.41106597	0.893458156
p__Proteobacteria;g__Curvibacter	-3.54837123	0.889916917
p__Proteobacteria;g__Schlegelella	0.07699212	0.862313216
p__Firmicutes;g__Caloramator	-1.368928824	0.854599019
p__Firmicutes;g__Staphylococcus	4.639887179	0.852652495
p__Firmicutes;g__Brevibacillus	-0.771154319	0.851252926
p__Proteobacteria;g__Stenotrophomonas	-1.460126792	0.848101003
p__Firmicutes;g__Sporanaerobacter	-3.574864303	0.843821259
p__Firmicutes;g__Geobacillus	-0.821030532	0.833875617
p__Proteobacteria;g__Pandoraea	-3.165080939	0.818037802
p__Actinobacteria;g__Actinobaculum	7.921045388	0.797838872
p__Firmicutes;g__Enterococcus	6.974788512	0.781585341
p__Firmicutes;g__Vagococcus	4.053001489	0.773773113
p__Proteobacteria;g__Enterobacter	-0.051839267	0.772007257
p__Firmicutes;g__Aerococcus	-1.966920768	0.770407825
p__Proteobacteria;g__Polynucleobacter	-3.518871222	0.75674078
p__Proteobacteria;g__Edwardsiella	-0.349050437	0.754852639
p__Proteobacteria;g__Methyloversatilis	-0.908726607	0.7395309
p__Firmicutes;g__Peptostreptococcus	1.715853776	0.732577605
p__Actinobacteria;g__Propionibacterium	-2.51668254	0.729503883
p__Firmicutes;g__Subdoligranulum	-0.484875594	0.707543244
p__Proteobacteria;g__Ramlibacter	-0.058651362	0.704923166
p__Proteobacteria;g__Mitsuaria	-3.545124923	0.669712981
p__Proteobacteria;g__Janthinobacterium	-2.219540511	0.660902714
p__Bacteroidetes;g__Algoriphagus	-3.422759925	0.659228986
p__Firmicutes;g__Facklamia	-0.727893744	0.652741974
p__Proteobacteria;g__Xenorhabdus	-2.413572226	0.651678806
p__Firmicutes;g__Dialister	9.013336863	0.620546689
p__Firmicutes;g__Tetragenococcus	-0.800887977	0.616561895
p__Tenericutes;g__Mycoplasma	-2.754090224	0.599850675
p__Firmicutes;g__Pelotomaculum	-3.117234145	0.592219447
p__Proteobacteria;g__Roseateles	-3.554482375	0.566845542
p__Proteobacteria;g__Bradyrhizobium	-2.831805144	0.565245202
p__Proteobacteria;g__Proteus	-2.017284308	0.562608799
p__Proteobacteria;g__Alishewanella	-2.070802604	0.556507772
p__Firmicutes;g__Fructobacillus	-2.81013671	0.542960768
p__Proteobacteria;g__Cardiobacterium	-1.476522361	0.538404291
p__Proteobacteria;g__Cupriavidus	-3.507155333	0.523326074
