phylum,log fold change (MA - US),se,ci.lo.adj,ci.up.adj,p.val,q.val,diff.abn,structural.zero (MA),structural.zero (US)
p__Elusimicrobia,6.432794883752941,0,6.432794883752941,6.432794883752941,0,0,TRUE,0,1
p__Spirochaetes,4.901948561670184,0,4.901948561670184,4.901948561670184,0,0,TRUE,0,1
p__Synergistetes,-1.0604622149467684,0,-1.0604622149467684,-1.0604622149467684,0,0,TRUE,1,0
p__Cyanobacteria,6.2562345453106385,0.5230872301424171,4.732101516060067,7.78036757456121,5.7414651171345376e-33,6.315611628847992e-32,TRUE,0,0
p__Verrucomicrobia,-4.260768921842443,0.6570805684169284,-6.175321867304934,-2.346215976379952,8.908946811394756e-11,9.799841492534232e-10,TRUE,0,0
p__Actinobacteria,-1.9094839732900901,0.32794761356449464,-2.8650335659678974,-0.953934380612283,5.7964284979039594e-9,6.376071347694356e-8,TRUE,0,0
p__Lentisphaerae,3.5535816027992917,0.6519446187184744,1.6539934091428274,5.4531697964557555,5.016023016835004e-8,5.517625318518504e-7,TRUE,0,0
p__Euryarchaeota,3.06690070843383,0.6193878305614101,1.2621740852710395,4.8716273315966205,7.364247984997982e-7,8.10067278349778e-6,TRUE,0,0
p__Proteobacteria,1.174662210399923,0.27961229598996284,0.35994850464407724,1.9893759161557685,2.6569260201430168e-5,2.9226186221573185e-4,TRUE,0,0
p__TM7,-0.7478329963450512,0.22223614768054328,-1.395368308727087,-0.10029768396301553,7.653322468296358e-4,0.008418654715125994,TRUE,0,0
p__Firmicutes,-0.62157578854071,0.2195471707127645,-1.2612761579623337,0.01812458088091362,0.004637778293238235,0.051015561225620586,FALSE,0,0
p__Fusobacteria,0.8703305120461864,0.4826338692413638,-0.5359324948819089,2.2765935189742814,0.07134213527151555,0.7847634879866711,FALSE,0,0
p__Bacteroidetes,0.10610149948576009,0.2699766064777988,-0.680536444143195,0.8927394431147152,0.6943175851322927,1,FALSE,0,0
p__Tenericutes,-0.08424447567624682,0.2355005654108355,-0.7704286710964156,0.6019397197439219,0.7205490080813626,1,FALSE,0,0
