phylum,log fold change (MA - US),se,ci.lo.adj,ci.up.adj,p.val,q.val,diff.abn,structural.zero (MA),structural.zero (US)
p__Elusimicrobia,2.042978223673997,0,2.042978223673997,2.042978223673997,0,0,TRUE,0,1
p__Spirochaetes,2.6065077545017665,0,2.6065077545017665,2.6065077545017665,0,0,TRUE,0,1
p__Cyanobacteria,2.6007129514487364,0.31786961494721655,1.6819071546511752,3.5195187482462975,2.798735221013172e-16,3.078608743114489e-15,TRUE,0,0
p__Verrucomicrobia,-4.03494743799976,0.594466083693352,-5.7532585253545365,-2.316636350644983,1.1408143090216336e-11,1.254895739923797e-10,TRUE,0,0
p__Fusobacteria,2.949691991247496,0.47463467418212296,1.5777549784189129,4.32162900407608,5.143668176463606e-10,5.658034994109967e-9,TRUE,0,0
p__Tenericutes,-2.7481745063874596,0.5238421332821868,-4.262346248617043,-1.2340027641578761,1.5527814581315917e-7,1.7080596039447508e-6,TRUE,0,0
p__Lentisphaerae,0.5139453333910764,0.2871239988131406,-0.3159899045303476,1.3438805713125004,0.07345762051114378,0.8080338256225816,FALSE,0,0
p__Actinobacteria,0.6463068060169217,0.4518398171257576,-0.6597414089659217,1.952355020999765,0.1526053389312724,1,FALSE,0,0
p__Bacteroidetes,0.8461527190127534,0.5828539712816764,-0.8385934231720229,2.53089886119753,0.14657377201886868,1,FALSE,0,0
p__Euryarchaeota,-0.11725515913147233,0.2352427878623662,-0.7972271570169961,0.5627168387540514,0.6181717208017268,1,FALSE,0,0
p__Firmicutes,-0.3214683958450397,0.23073146872492828,-0.9884003736098294,0.3454635819197499,0.16354187652189167,1,FALSE,0,0
p__Proteobacteria,-0.36382101472421446,0.43557604469294303,-1.622858607469548,0.895216578021119,0.4035690493593591,1,FALSE,0,0
p__TM7,0.04295641555604385,0.2540741346015031,-0.6914478077823498,0.7773606388944374,0.8657412671391911,1,FALSE,0,0
