"phylum","genus","mean.difference (MA - VEN)","se (MA - VEN)","effect.size (MA - VEN)","p.val","q.val","diff.abn","structural.zero (MA)","structural.zero (VEN)"
"p__Actinobacteria","p__Actinobacteria;g__Rhodococcus",-0.269037256582624,0,Inf,0,0,TRUE,1,0
"p__Bacteroidetes","p__Bacteroidetes;g__Cyclobacterium",-0.24332676780512,0,Inf,0,0,TRUE,1,0
"p__Firmicutes","p__Firmicutes;g__Brevibacillus",-0.773264866106122,0,Inf,0,0,TRUE,1,0
"p__Proteobacteria","p__Proteobacteria;g__Achromobacter",-0.215511362968902,0,Inf,0,0,TRUE,1,0
"p__Proteobacteria","p__Proteobacteria;g__Congregibacter",-0.241398659834453,0,Inf,0,0,TRUE,1,0
"p__Proteobacteria","p__Proteobacteria;g__Cupriavidus",-0.242050564088368,0,Inf,0,0,TRUE,1,0
"p__Proteobacteria","p__Proteobacteria;g__Paucibacter",-0.241683214147248,0,Inf,0,0,TRUE,1,0
"p__Proteobacteria","p__Proteobacteria;g__Ralstonia",-1.53908789216796,0,Inf,0,0,TRUE,1,0
"p__Proteobacteria","p__Proteobacteria;g__Salinivibrio",-0.207353955561773,0,Inf,0,0,TRUE,1,0
"p__Proteobacteria","p__Proteobacteria;g__Sphaerotilus",-0.283196837872077,0,Inf,0,0,TRUE,1,0
"p__Spirochaetes","p__Spirochaetes;g__Brachyspira",0.914336909388226,0,Inf,0,0,TRUE,0,1
"p__Firmicutes","p__Firmicutes;g__Mitsuokella",3.09075887744837,0.335054143631102,9.22465498845264,2.8447522333284e-20,6.25845491332248e-18,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Veillonella",2.68988580985025,0.305774749624043,8.79695204773293,1.40582346475638e-18,3.09281162246404e-16,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Acinetobacter",-1.99282349763582,0.236947762658912,-8.41039170521523,4.08643709730669e-17,8.99016161407472e-15,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Bilophila",-2.72781868525282,0.325552284213995,-8.37904944159365,5.33568590297255e-17,1.17385089865396e-14,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Klebsiella",-2.38978518162058,0.312187168806054,-7.65497566975673,1.93348845080065e-14,4.25367459176144e-12,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Geobacillus",-1.87904555316374,0.248889895415366,-7.5497060659206,4.36241655921548e-14,9.59731643027406e-12,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Desulfovibrio",-2.97668755460794,0.398388059668621,-7.47182924378797,7.90875953446742e-14,1.73992709758283e-11,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Lactococcus",-2.5704737639372,0.347153351477352,-7.40443309274775,1.31711913494018e-13,2.8976620968684e-11,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Sphingomonas",-1.12121394971125,0.151953833036049,-7.3786486810455,1.59904154794995e-13,3.51789140548988e-11,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Halobacillus",-1.62858194698061,0.230936972687853,-7.05206242216521,1.76285080908946e-12,3.8782717799968e-10,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Oscillospira",-2.17824385190355,0.350464120944798,-6.21531198694843,5.12227726613601e-10,1.12690099854992e-07,TRUE,0,0
"p__Tenericutes","p__Tenericutes;g__p-75-a5",-2.50116966175184,0.404821749602022,-6.17844684533556,6.47352761707389e-10,1.42417607575626e-07,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Pseudomonas",-0.901454330113615,0.151822576319208,-5.93755126522357,2.89310595579993e-09,6.36483310275984e-07,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Lactobacillus",2.17838149436359,0.367381314209511,5.9294836457613,3.03888775880324e-09,6.68555306936714e-07,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Finegoldia",1.27685259890539,0.21562813846256,5.92154905203661,3.1892314755093e-09,7.01630924612046e-07,TRUE,0,0
