"otu.names","W_stat","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"p__Actinobacteria;g__Arthrobacter",170,FALSE,FALSE,TRUE,TRUE
"p__Actinobacteria;g__Micrococcus",175,FALSE,FALSE,TRUE,TRUE
"p__Actinobacteria;g__Renibacterium",176,FALSE,TRUE,TRUE,TRUE
"p__Actinobacteria;g__Rothia",194,FALSE,TRUE,TRUE,TRUE
"p__Actinobacteria;g__Serinicoccus",157,FALSE,FALSE,TRUE,TRUE
"p__Actinobacteria;g__Slackia",157,FALSE,FALSE,TRUE,TRUE
"p__Bacteroidetes;g__Alistipes",185,FALSE,TRUE,TRUE,TRUE
"p__Bacteroidetes;g__Odoribacter",204,TRUE,TRUE,TRUE,TRUE
"p__Bacteroidetes;g__Parabacteroides",167,FALSE,FALSE,TRUE,TRUE
"p__Euryarchaeota;g__Methanobrevibacter",172,FALSE,FALSE,TRUE,TRUE
"p__Euryarchaeota;g__Methanosphaera",178,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Anaerococcus",193,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Anaerovorax",193,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Bacillus",166,FALSE,FALSE,TRUE,TRUE
"p__Firmicutes;g__Caloramator",181,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Dorea",156,FALSE,FALSE,TRUE,TRUE
"p__Firmicutes;g__Finegoldia",191,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Gemella",183,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Geobacillus",192,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Granulicatella",193,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Halobacillus",192,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Lactobacillus",192,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Lactococcus",208,TRUE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Macrococcus",164,FALSE,FALSE,TRUE,TRUE
"p__Firmicutes;g__Megamonas",198,TRUE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Megasphaera",206,TRUE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Mitsuokella",200,TRUE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Oscillospira",204,TRUE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Pediococcus",194,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Peptoniphilus",182,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Pontibacillus",168,FALSE,FALSE,TRUE,TRUE
"p__Firmicutes;g__Ruminococcus",166,FALSE,FALSE,TRUE,TRUE
"p__Firmicutes;g__Sarcina",197,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Streptococcus",207,TRUE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Turicibacter",197,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Veillonella",214,TRUE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Weissella",190,FALSE,TRUE,TRUE,TRUE
"p__Fusobacteria;g__Leptotrichia",201,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Acinetobacter",202,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Actinobacillus",205,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Bilophila",213,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Burkholderia",164,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Buttiauxella",185,FALSE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Citrobacter",186,FALSE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Desulfovibrio",214,TRUE,TRUE,TRUE,TRUE
