	Intercept	country[T.VEN]
p__Acidobacteria;g__Candidatus Solibacter	7.731691548069282	-0.7195216257435559
p__Actinobacteria;g__Actinomadura	-2.7859037430684133	-1.2401717145306348
p__Actinobacteria;g__Actinomyces	3.9927067248423533	0.34105266739304074
p__Actinobacteria;g__Actinomycetospora	-2.47442894295855	0.6395785968440295
p__Actinobacteria;g__Actinoplanes	-1.679190448085503	0.1204312603610278
p__Actinobacteria;g__Adlercreutzia	5.98503846808271	0.8666235368388415
p__Actinobacteria;g__Aeromicrobium	-2.8899314911763234	-0.10526256154601565
p__Actinobacteria;g__Agromyces	-3.250609210292536	0.11698319126541623
p__Actinobacteria;g__Alloscardovia	-2.1627281220356984	0.15865858007843503
p__Actinobacteria;g__Amycolatopsis	-2.90899925545855	-1.291617377505946
p__Actinobacteria;g__Arcanobacterium	0.32036370917157697	-0.8733534802061795
p__Actinobacteria;g__Arthrobacter	-0.08711462334795428	-0.8939750630718946
p__Actinobacteria;g__Atopobium	3.5545517890055613	-0.36399058888976565
p__Actinobacteria;g__Bifidobacterium	11.059435555179878	-0.809030382738757
p__Actinobacteria;g__Brachybacterium	-1.9283893616597219	0.6579270522731067
p__Actinobacteria;g__Brevibacterium	-2.1691139252583547	0.019198314441990938
p__Actinobacteria;g__Cellulomonas	-2.8416030915181203	0.40136481930191525
p__Actinobacteria;g__Cellulosimicrobium	-3.337235263148978	-0.5217958379847287
p__Actinobacteria;g__Collinsella	6.949320086677833	0.26791699339325437
p__Actinobacteria;g__Corynebacterium	3.920118996341987	-0.8412938479644536
p__Actinobacteria;g__Cryocola	-2.5765407593648	-0.8677245069605588
p__Actinobacteria;g__Curtobacterium	-2.143306544582085	0.9023648660319568
p__Actinobacteria;g__Dermabacter	-1.9684207947651906	-0.7853656698328733
p__Actinobacteria;g__Dermacoccus	-0.029298594752983576	0.07770635296280393
p__Actinobacteria;g__Dermatophilus	-2.140333941737847	-1.47942285131042
p__Actinobacteria;g__Dietzia	-1.6603487046162648	-1.3331811864239453
p__Actinobacteria;g__Eggerthella	2.626922318180366	0.9668288390773059
p__Actinobacteria;g__Frankia	-3.0071266205708547	-0.017925902114558134
p__Actinobacteria;g__Gardnerella	0.9985005347331004	-0.571705548868823
p__Actinobacteria;g__Geodermatophilus	-1.6386554749409719	0.907787100567174
p__Actinobacteria;g__Georgenia	-3.216822436610892	-0.6586563725334882
p__Actinobacteria;g__Gordonia	-2.711919596950249	0.001971141590428438
p__Actinobacteria;g__Kineosporia	-1.3842313797871633	0.5055473010676623
p__Actinobacteria;g__Knoellia	-2.6353357346455617	-0.12496440003936282
p__Actinobacteria;g__Kocuria	0.10676211996869611	1.0502300422328235
p__Actinobacteria;g__Kytococcus	-2.1079776795308156	-0.7396186225426673
p__Actinobacteria;g__Leucobacter	-2.2460744889180226	0.542066590084386
p__Actinobacteria;g__Marmoricola	-3.1212423355977084	-0.5290150184494733
p__Actinobacteria;g__Microbacterium	-2.843672564784722	-0.7774446707529306
p__Actinobacteria;g__Micrococcus	-0.8607824356953664	-2.4766756136280783
p__Actinobacteria;g__Micromonospora	-1.881665042201714	0.3555178802150012
p__Actinobacteria;g__Mobiluncus	-0.8929193528096242	-0.584739788280177
p__Actinobacteria;g__Modestobacter	-3.269582560817435	-0.09571914266173831
