phylum,log fold change (MA - VEN),se,ci.lo.adj,ci.up.adj,p.val,q.val,diff.abn,structural.zero (MA),structural.zero (VEN)
p__Synergistetes,-1.4769495879471684,0,-1.4769495879471684,-1.4769495879471684,0,0,TRUE,1,0
p__Verrucomicrobia,-1.6508441894890291,0.8141559258983315,-4.023071738006859,0.7213833590288004,0.04259335699632308,0.5537136409522,FALSE,0,0
p__Elusimicrobia,1.6688438372683434,0.8881608663431939,-0.9190138539104469,4.256701528447134,0.06024609681143204,0.7831992585486165,FALSE,0,0
p__Actinobacteria,-0.6731261390682715,0.5792857691267705,-2.361006330409492,1.014754052272949,0.24523821693538103,1,FALSE,0,0
p__Bacteroidetes,0.2049380492764854,0.5120654724447077,-1.2870805944959662,1.696956693048937,0.6889956271665678,1,FALSE,0,0
p__Cyanobacteria,0.6992310348284478,0.7309557448690756,-1.4305739565342575,2.829036026191153,0.33877003899278507,1,FALSE,0,0
p__Euryarchaeota,0.6569194240473539,0.7479588740384526,-1.5224280322702035,2.8362668803649114,0.3797902603848667,1,FALSE,0,0
p__Firmicutes,0.005412847165311874,0.46624727905780045,-1.3531041206771757,1.3639298150077994,0.9907372538879292,1,FALSE,0,0
p__Fusobacteria,-0.9786140485908894,0.7650197070361945,-3.2076721030266744,1.2504440058448956,0.2008262496097195,1,FALSE,0,0
p__Lentisphaerae,-0.7810372265667089,0.8206558263723633,-3.172203706162279,1.6101292530288611,0.3412373570994845,1,FALSE,0,0
p__Proteobacteria,-0.14231617779483408,0.5112613378276346,-1.631991793370036,1.347359437780368,0.7807338122668336,1,FALSE,0,0
p__Spirochaetes,1.6525075211885687,1.0824304538399592,-1.5013985799315024,4.806413622308639,0.12684460322825017,1,FALSE,0,0
p__Tenericutes,-0.6340875496627341,0.45322083362222876,-1.9546490206052503,0.6864739212797821,0.16179207362667059,1,FALSE,0,0
p__TM7,-0.3999793687362028,0.4618564874662218,-1.7457027715599867,0.9457440340875811,0.38647632850323493,1,FALSE,0,0
