phylum,log fold change (MA - VEN),se,ci.lo.adj,ci.up.adj,p.val,q.val,diff.abn,structural.zero (MA),structural.zero (VEN)
p__Acidobacteria,0.3298123059269332,0,0.3298123059269332,0.3298123059269332,0,0,TRUE,0,1
p__Chloroflexi,0.26420371775467744,0,0.26420371775467744,0.26420371775467744,0,0,TRUE,0,1
p__Verrucomicrobia,-2.9770528126019165,0.6450697945679806,-4.870461330999803,-1.0836442942040296,3.9293188531724605e-6,5.108114509124199e-5,TRUE,0,0
p__Tenericutes,-2.3691105667788808,0.5393937071418168,-3.952338689491581,-0.7858824440661807,1.1222325719773868e-5,1.458902343570603e-4,TRUE,0,0
p__Spirochaetes,1.1261988179563729,0.34750299859560996,0.10620820104895357,2.146189434863792,0.0011918142382740437,0.015493585097562568,TRUE,0,0
p__Lentisphaerae,-1.3490380041499943,0.5007088575947365,-2.818718377018916,0.12064236871892753,0.007054589002806451,0.09170965703648387,FALSE,0,0
p__Cyanobacteria,-1.312547605675313,0.5345148834260688,-2.881455407608855,0.25636019625822937,0.014065484348890316,0.1828512965355741,FALSE,0,0
p__Fusobacteria,1.3461194252899782,0.5956352993764866,-0.40218898907814227,3.0944278396580986,0.023822954658884482,0.3096984105654983,FALSE,0,0
p__Actinobacteria,1.1256324582497577,0.6026703424376382,-0.643325210774909,2.8945901272744243,0.06179809977948081,0.8033752971332505,FALSE,0,0
p__Bacteroidetes,-0.40964920740924526,0.5509832398724909,-2.0268949204374334,1.2075965056189426,0.45718652527196685,1,FALSE,0,0
p__Elusimicrobia,0.0907686684785104,0.33358246582134743,-0.8883624080235522,1.069899744980573,0.7855431022850152,1,FALSE,0,0
p__Euryarchaeota,-0.2747032121830464,0.33052151912330685,-1.244849799562791,0.6954433751966981,0.4059055566237613,1,FALSE,0,0
p__Firmicutes,0.0052629837900735055,0.22193630091772498,-0.6461643287858726,0.6566902963660196,0.9810807878204725,1,FALSE,0,0
p__Proteobacteria,-0.10888387400683897,0.39045450665567005,-1.2549457345591704,1.0371779865454924,0.780348865701913,1,FALSE,0,0
p__TM7,0.21936440773401883,0.29252573787829594,-0.6392569827161945,1.077985798184232,0.4533162586655019,1,FALSE,0,0
