"phylum","genus","mean.difference (VEN - US)","se (VEN - US)","W","p.val","q.val","diff.abn","structural.zero (US)","structural.zero (VEN)"
"p__Firmicutes","p__Firmicutes;g__Pontibacillus",1.39431074383887,0,Inf,0,0,TRUE,1,0
"p__Proteobacteria","p__Proteobacteria;g__Helicobacter",3.06589269891515,0,Inf,0,0,TRUE,1,0
"p__Proteobacteria","p__Proteobacteria;g__Succinivibrio",8.16035729151869,0.29431373675309,27.7267292432385,3.32556180391282e-169,6.51810113566913e-167,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Anaerotruncus",-4.31943833574465,0.156274737292769,-27.6400294159669,3.67782467175288e-168,7.20853635663564e-166,TRUE,0,0
"p__Bacteroidetes","p__Bacteroidetes;g__Prevotella",5.86582591476798,0.274023863062395,21.4062594739508,1.16821482003231e-101,2.28970104726333e-99,TRUE,0,0
"p__Tenericutes","p__Tenericutes;g__Coprobacillus",-4.25627030225678,0.216098375600568,-19.6959847126477,2.334140159752e-86,4.57491471311391e-84,TRUE,0,0
"p__Tenericutes","p__Tenericutes;g__Catenibacterium",5.40292844550455,0.286348826380834,18.8683449965283,2.07702061776179e-79,4.07096041081311e-77,TRUE,0,0
"p__Tenericutes","p__Tenericutes;g__Holdemania",-3.56181696356894,0.210201614198536,-16.9447650397432,2.10372913284608e-64,4.12330910037833e-62,TRUE,0,0
"p__Tenericutes","p__Tenericutes;g__p-75-a5",5.15984272852458,0.320566030245874,16.0960371395777,2.71975531641551e-58,5.33072042017441e-56,TRUE,0,0
"p__Actinobacteria","p__Actinobacteria;g__Eggerthella",-4.18926007428323,0.276701033685864,-15.1400232174024,8.81825638943842e-52,1.72837825232993e-49,TRUE,0,0
"p__Bacteroidetes","p__Bacteroidetes;g__Alistipes",-4.33330247356798,0.296477732064029,-14.6159458364723,2.2224631910999e-48,4.3560278545558e-46,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Turicibacter",-4.3484222637868,0.297649264624464,-14.6092155452596,2.45326407988678e-48,4.80839759657809e-46,TRUE,0,0
"p__Bacteroidetes","p__Bacteroidetes;g__Bacteroides",-3.42933133890044,0.24541053674788,-13.9738553378559,2.25103688163468e-44,4.41203228800397e-42,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Thiomonas",2.33572929258036,0.168079960207515,13.8965364443008,6.64814336100973e-44,1.30303609875791e-41,TRUE,0,0
"p__Verrucomicrobia","p__Verrucomicrobia;g__Akkermansia",-4.20142859484808,0.311749202081198,-13.476950596184,2.13760482203569e-41,4.18970545118996e-39,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Anaerofustis",-1.64642601419219,0.123315809047217,-13.3512971849521,1.16404064604261e-40,2.28151966624352e-38,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Lactococcus",3.99066820305408,0.299750674963708,13.313291800051,1.93753330464017e-40,3.79756527709473e-38,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Campylobacter",4.0370342427502,0.30579048998647,13.2019613916994,8.54799897960246e-40,1.67540780000208e-37,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Phascolarctobacterium",-3.99074459089055,0.307212799189546,-12.9901638259164,1.39128925166484e-38,2.72692693326308e-36,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Escherichia",2.50946472145957,0.229427428459564,10.9379455556329,7.59003446048007e-28,1.48764675425409e-25,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Serratia",2.97925949892509,0.273115839513541,10.9084097950217,1.05078323065901e-27,2.05953513209165e-25,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Sutterella",2.97466908098176,0.27604481843576,10.7760366517222,4.46721319727823e-27,8.75573786666533e-25,TRUE,0,0
"p__Bacteroidetes","p__Bacteroidetes;g__Parabacteroides",-2.96740214729834,0.279430936575185,-10.6194474515527,2.41989240104864e-26,4.74298910605534e-24,TRUE,0,0
"p__Actinobacteria","p__Actinobacteria;g__Slackia",2.72953294213875,0.268676175500184,10.1591923327674,3.01564168816954e-24,5.91065770881231e-22,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Sarcina",2.94128953961579,0.289618689064628,10.1557311412298,3.12459291430291e-24,6.1242021120337e-22,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Finegoldia",-1.5405290995849,0.159035568127325,-9.68669535830842,3.43462104643094e-22,6.73185725100465e-20,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Burkholderia",1.14360280458351,0.11869558524909,9.63475433550112,5.70282442650231e-22,1.11775358759445e-19,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Enterococcus",3.18740888676038,0.347253941868881,9.17889907773575,4.35521125643202e-20,8.53621406260676e-18,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Oxalobacter",2.21914782815782,0.245070586745382,9.05513736931404,1.36395995943386e-19,2.67336152049036e-17,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Klebsiella",2.77363351712621,0.311244394650536,8.91143283155489,5.03772354827184e-19,9.8739381546128e-17,TRUE,0,0
"p__Tenericutes","p__Tenericutes;g__Bulleidia",2.72316206220283,0.307433330270191,8.857732048147,8.16587076037954e-19,1.60051066903439e-16,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Weissella",2.22355245974248,0.25771418733602,8.62797846997576,6.24458302687211e-18,1.22393827326693e-15,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Erwinia",1.83567223501043,0.21305068303676,8.61612931179243,6.92555387931879e-18,1.35740856034648e-15,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Eubacterium",-1.91206767024057,0.222468247270387,-8.59478911575477,8.3417848955603e-18,1.63498983952982e-15,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Bacillus",1.67561730549524,0.20451206565037,8.19324424779826,2.54277432874103e-16,4.98383768433241e-14,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Selenomonas",2.07147037171043,0.256380253718133,8.07967985704477,6.49370220916525e-16,1.27276563299639e-13,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Clostridium",-1.13464396791017,0.143735543137554,-7.89396932131343,2.92724152233496e-15,5.73739338377651e-13,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Haemophilus",1.88212215279817,0.245585513229054,7.66381586621821,1.80488610528222e-14,3.53757676635315e-12,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Acinetobacter",1.77314928591078,0.234353996313332,7.56611499613633,3.84551657496543e-14,7.53721248693225e-12,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Lactobacillus",1.94749310219129,0.25782828860345,7.55345006065885,4.23877086114771e-14,8.30799088784952e-12,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Halobacillus",1.73171130666835,0.230523892038448,7.51206866826421,5.82002444225267e-14,1.14072479068152e-11,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Dialister",2.10436877703263,0.288118013821817,7.30384313399458,2.79662405877416e-13,5.48138315519735e-11,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Geobacillus",1.83622400362567,0.251686211197164,7.29568773311631,2.97137337211928e-13,5.82389180935378e-11,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Anaerovorax",-0.876949573851822,0.121527478166389,-7.21605999797963,5.35154531445024e-13,1.04890288163225e-10,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Epulopiscium",-1.21235875080479,0.169464274048475,-7.15406688289941,8.42439871800765e-13,1.6511821487295e-10,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Vagococcus",2.09512767952548,0.296027018780821,7.07748802171572,1.4679087609711e-12,2.87710117150336e-10,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Desulfovibrio",2.38924392979036,0.339273091193721,7.042244114863,1.89168024839148e-12,3.7076932868473e-10,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Sphingomonas",1.03242200315092,0.149592580481726,6.90155888631816,5.14349416752671e-12,1.00812485683524e-09,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Aggregatibacter",1.30870995560984,0.19313909213817,6.77599724178885,1.23551035495097e-11,2.42160029570389e-09,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Peptoniphilus",-1.45164129570993,0.214781372041905,-6.75869272045955,1.39242347822235e-11,2.7291500173158e-09,TRUE,0,0
"p__Tenericutes","p__Tenericutes;g__Asteroleplasma",1.95908100272311,0.296521830191565,6.60686938785407,3.92532061058196e-11,7.69362839674063e-09,TRUE,0,0
"p__Spirochaetes","p__Spirochaetes;g__Treponema",1.77063327384912,0.270229117850688,6.55234079854954,5.66420915748913e-11,1.11018499486787e-08,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Veillonella",1.65066365408889,0.254204794495539,6.49344028842798,8.38980284838855e-11,1.64440135828416e-08,TRUE,0,0
"p__Tenericutes","p__Tenericutes;g__RFN20",1.34534969316571,0.207482671697039,6.48415447016295,8.92307662685037e-11,1.74892301886267e-08,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Ruminococcus",-1.1753767385025,0.183200131525135,-6.4158072852761,1.4007855676052e-10,2.74553971250618e-08,TRUE,0,0
