"otu.names","W_stat","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"p__Actinobacteria;g__Actinomyces",153,FALSE,FALSE,TRUE,TRUE
"p__Actinobacteria;g__Adlercreutzia",158,FALSE,TRUE,TRUE,TRUE
"p__Actinobacteria;g__Alloscardovia",160,FALSE,TRUE,TRUE,TRUE
"p__Actinobacteria;g__Arthrobacter",145,FALSE,FALSE,TRUE,TRUE
"p__Actinobacteria;g__Bifidobacterium",176,TRUE,TRUE,TRUE,TRUE
"p__Actinobacteria;g__Eggerthella",189,TRUE,TRUE,TRUE,TRUE
"p__Actinobacteria;g__Gardnerella",143,FALSE,FALSE,TRUE,TRUE
"p__Actinobacteria;g__Kocuria",156,FALSE,FALSE,TRUE,TRUE
"p__Actinobacteria;g__Mobiluncus",166,FALSE,TRUE,TRUE,TRUE
"p__Actinobacteria;g__Olsenella",153,FALSE,FALSE,TRUE,TRUE
"p__Actinobacteria;g__Parascardovia",140,FALSE,FALSE,TRUE,TRUE
"p__Actinobacteria;g__Renibacterium",152,FALSE,FALSE,TRUE,TRUE
"p__Actinobacteria;g__Serinicoccus",143,FALSE,FALSE,TRUE,TRUE
"p__Actinobacteria;g__Slackia",180,TRUE,TRUE,TRUE,TRUE
"p__Actinobacteria;g__Varibaculum",178,TRUE,TRUE,TRUE,TRUE
"p__Bacteroidetes;g__Alistipes",191,TRUE,TRUE,TRUE,TRUE
"p__Bacteroidetes;g__Bacteroides",191,TRUE,TRUE,TRUE,TRUE
"p__Bacteroidetes;g__Candidatus Azobacteroides",158,FALSE,TRUE,TRUE,TRUE
"p__Bacteroidetes;g__Cyclobacterium",150,FALSE,FALSE,TRUE,TRUE
"p__Bacteroidetes;g__Dyadobacter",164,FALSE,TRUE,TRUE,TRUE
"p__Bacteroidetes;g__Dysgonomonas",176,TRUE,TRUE,TRUE,TRUE
"p__Bacteroidetes;g__Odoribacter",174,FALSE,TRUE,TRUE,TRUE
"p__Bacteroidetes;g__Paludibacter",140,FALSE,FALSE,TRUE,TRUE
"p__Bacteroidetes;g__Parabacteroides",192,TRUE,TRUE,TRUE,TRUE
"p__Bacteroidetes;g__Pedobacter",165,FALSE,TRUE,TRUE,TRUE
"p__Bacteroidetes;g__Porphyromonas",145,FALSE,FALSE,TRUE,TRUE
"p__Bacteroidetes;g__Prevotella",195,TRUE,TRUE,TRUE,TRUE
"p__Bacteroidetes;g__Sphingobacterium",175,FALSE,TRUE,TRUE,TRUE
"p__Bacteroidetes;g__Tannerella",164,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Acetivibrio",152,FALSE,FALSE,TRUE,TRUE
"p__Firmicutes;g__Acidaminococcus",146,FALSE,FALSE,TRUE,TRUE
"p__Firmicutes;g__Aerococcus",139,FALSE,FALSE,TRUE,TRUE
"p__Firmicutes;g__Anaerococcus",173,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Anaerofustis",188,TRUE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Anaerostipes",171,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Anaerotruncus",191,TRUE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Anaerovorax",175,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Bacillus",178,TRUE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Blautia",166,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Brevibacillus",161,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Butyrivibrio",145,FALSE,FALSE,TRUE,TRUE
"p__Firmicutes;g__Caloramator",157,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Carnobacterium",165,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Clostridium",180,TRUE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Dehalobacterium",167,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Desulfitobacterium",137,FALSE,FALSE,TRUE,TRUE
"p__Firmicutes;g__Desulfosporosinus",140,FALSE,FALSE,TRUE,TRUE
"p__Firmicutes;g__Dialister",159,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Enterococcus",185,TRUE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Epulopiscium",173,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Eubacterium",191,TRUE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Faecalibacterium",151,FALSE,FALSE,TRUE,TRUE
"p__Firmicutes;g__Finegoldia",182,TRUE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Gemella",167,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Geobacillus",172,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Halobacillus",172,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Kurthia",150,FALSE,FALSE,TRUE,TRUE
"p__Firmicutes;g__Lachnospira",158,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Lactobacillus",179,TRUE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Lactococcus",191,TRUE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Lentibacillus",154,FALSE,FALSE,TRUE,TRUE
"p__Firmicutes;g__Leuconostoc",152,FALSE,FALSE,TRUE,TRUE
"p__Firmicutes;g__Megamonas",170,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Megasphaera",159,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Melissococcus",143,FALSE,FALSE,TRUE,TRUE
"p__Firmicutes;g__Mitsuokella",156,FALSE,FALSE,TRUE,TRUE
"p__Firmicutes;g__Mogibacterium",153,FALSE,FALSE,TRUE,TRUE
"p__Firmicutes;g__Oribacterium",167,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Paenibacillus",154,FALSE,FALSE,TRUE,TRUE
"p__Firmicutes;g__Pediococcus",166,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Peptococcus",158,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Peptoniphilus",183,TRUE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Phascolarctobacterium",187,TRUE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Pseudobutyrivibrio",168,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Roseburia",176,TRUE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Ruminococcus",181,TRUE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Rummeliibacillus",157,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Sarcina",182,TRUE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Selenomonas",178,TRUE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Subdoligranulum",161,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Terribacillus",141,FALSE,FALSE,TRUE,TRUE
"p__Firmicutes;g__Tetragenococcus",152,FALSE,FALSE,TRUE,TRUE
"p__Firmicutes;g__Trichococcus",154,FALSE,FALSE,TRUE,TRUE
"p__Firmicutes;g__Turicibacter",191,TRUE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Vagococcus",172,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Veillonella",163,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Weissella",176,TRUE,TRUE,TRUE,TRUE
"p__Fusobacteria;g__Cetobacterium",145,FALSE,FALSE,TRUE,TRUE
"p__Fusobacteria;g__Fusobacterium",172,FALSE,TRUE,TRUE,TRUE
"p__Fusobacteria;g__Leptotrichia",157,FALSE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Acinetobacter",177,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Actinobacillus",163,FALSE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Aeromonas",144,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Aggregatibacter",175,FALSE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Alkalimonas",165,FALSE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Aquamonas",161,FALSE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Averyella",147,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Bilophila",161,FALSE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Brachymonas",140,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Burkholderia",178,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Buttiauxella",179,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Campylobacter",193,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Cardiobacterium",141,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Citrobacter",174,FALSE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Comamonas",143,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Cronobacter",169,FALSE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Cupriavidus",147,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Desulfomicrobium",153,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Desulfovibrio",175,FALSE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Edwardsiella",166,FALSE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Eikenella",143,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Enterobacter",147,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Erwinia",177,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Escherichia",179,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Gallibacterium",157,FALSE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Gallionella",156,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Haemophilus",173,FALSE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Herbaspirillum",139,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Hylemonella",167,FALSE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Janthinobacterium",149,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Klebsiella",184,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Lautropia",144,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Leclercia",148,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Limnobacter",158,FALSE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Lysobacter",152,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Methylobacillus",146,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Methylophaga",149,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Methyloversatilis",137,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Morganella",160,FALSE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Neisseria",165,FALSE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Novosphingobium",159,FALSE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Oceanimonas",149,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Oxalobacter",178,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Pantoea",175,FALSE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Paucibacter",155,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Plesiomonas",161,FALSE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Proteus",137,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Pseudomonas",148,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Rahnella",149,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Ralstonia",168,FALSE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Raoultella",163,FALSE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Rhizobium",137,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Rhodocyclus",165,FALSE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Schlegelella",141,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Serratia",184,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Shewanella",147,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Sphaerotilus",152,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Sphingomonas",171,FALSE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Succinivibrio",195,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Sutterella",183,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Thauera",142,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Thiomonas",179,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Thiothrix",158,FALSE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Vogesella",153,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Xenorhabdus",144,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Yersinia",157,FALSE,TRUE,TRUE,TRUE
"p__Spirochaetes;g__Treponema",176,TRUE,TRUE,TRUE,TRUE
"p__Tenericutes;g__Asteroleplasma",167,FALSE,TRUE,TRUE,TRUE
"p__Tenericutes;g__Bulleidia",177,TRUE,TRUE,TRUE,TRUE
"p__Tenericutes;g__Catenibacterium",194,TRUE,TRUE,TRUE,TRUE
"p__Tenericutes;g__Clostridium",178,TRUE,TRUE,TRUE,TRUE
"p__Tenericutes;g__Coprobacillus",190,TRUE,TRUE,TRUE,TRUE
"p__Tenericutes;g__Holdemania",190,TRUE,TRUE,TRUE,TRUE
"p__Tenericutes;g__p-75-a5",194,TRUE,TRUE,TRUE,TRUE
"p__Tenericutes;g__RFN20",169,FALSE,TRUE,TRUE,TRUE
"p__Verrucomicrobia;g__Akkermansia",188,TRUE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Pontibacillus",Inf,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Helicobacter",Inf,TRUE,TRUE,TRUE,TRUE
"p__Actinobacteria;g__Arcanobacterium",133,FALSE,FALSE,FALSE,TRUE
"p__Actinobacteria;g__Atopobium",127,FALSE,FALSE,FALSE,TRUE
"p__Actinobacteria;g__Collinsella",83,FALSE,FALSE,FALSE,FALSE
"p__Actinobacteria;g__Corynebacterium",111,FALSE,FALSE,FALSE,FALSE
"p__Actinobacteria;g__Rothia",123,FALSE,FALSE,FALSE,TRUE
"p__Actinobacteria;g__Scardovia",124,FALSE,FALSE,FALSE,TRUE
"p__Euryarchaeota;g__Methanobrevibacter",94,FALSE,FALSE,FALSE,FALSE
"p__Firmicutes;g__Abiotrophia",128,FALSE,FALSE,FALSE,TRUE
"p__Firmicutes;g__Anaerobacillus",131,FALSE,FALSE,FALSE,TRUE
"p__Firmicutes;g__Bacteroides",110,FALSE,FALSE,FALSE,FALSE
"p__Firmicutes;g__Coprococcus",134,FALSE,FALSE,FALSE,TRUE
"p__Firmicutes;g__Dorea",100,FALSE,FALSE,FALSE,FALSE
"p__Firmicutes;g__Facklamia",126,FALSE,FALSE,FALSE,TRUE
"p__Firmicutes;g__Granulicatella",109,FALSE,FALSE,FALSE,FALSE
"p__Firmicutes;g__Lachnobacterium",134,FALSE,FALSE,FALSE,TRUE
"p__Firmicutes;g__Moryella",125,FALSE,FALSE,FALSE,TRUE
"p__Firmicutes;g__Oscillospira",105,FALSE,FALSE,FALSE,FALSE
"p__Firmicutes;g__Peptostreptococcus",112,FALSE,FALSE,FALSE,FALSE
"p__Firmicutes;g__Salinicoccus",136,FALSE,FALSE,FALSE,TRUE
"p__Firmicutes;g__Shuttleworthia",125,FALSE,FALSE,FALSE,TRUE
"p__Firmicutes;g__Staphylococcus",104,FALSE,FALSE,FALSE,FALSE
"p__Firmicutes;g__Streptococcus",107,FALSE,FALSE,FALSE,FALSE
"p__Fusobacteria;g__Sneathia",132,FALSE,FALSE,FALSE,TRUE
"p__Proteobacteria;g__Acidovorax",134,FALSE,FALSE,FALSE,TRUE
"p__Proteobacteria;g__Limnohabitans",134,FALSE,FALSE,FALSE,TRUE
"p__Proteobacteria;g__Methylibium",135,FALSE,FALSE,FALSE,TRUE
"p__Proteobacteria;g__Methylobacterium",126,FALSE,FALSE,FALSE,TRUE
"p__Proteobacteria;g__Nitrosomonas",131,FALSE,FALSE,FALSE,TRUE
"p__Proteobacteria;g__Providencia",135,FALSE,FALSE,FALSE,TRUE
"p__Proteobacteria;g__Ramlibacter",131,FALSE,FALSE,FALSE,TRUE
