	Intercept	country[T.VEN]
p__Acidobacteria;g__Candidatus Solibacter	8.524732252188361	-0.08002829015627366
p__Actinobacteria;g__Actinobaculum	-2.4446662463467934	-1.7568154281415023
p__Actinobacteria;g__Actinomadura	-3.6155723132413247	-0.4317127114571617
p__Actinobacteria;g__Actinomyces	5.184453149862922	-0.6764440482892082
p__Actinobacteria;g__Actinomycetospora	-3.3061450518887856	1.3958383852206184
p__Actinobacteria;g__Adlercreutzia	6.6830551825243605	0.3260244482718422
p__Actinobacteria;g__Aeromicrobium	-3.4593480624478676	0.49595583021268386
p__Actinobacteria;g__Agrococcus	-3.6013349093716958	-0.504856908921151
p__Actinobacteria;g__Agromyces	-3.690390924386344	0.6171510869227363
p__Actinobacteria;g__Alloscardovia	1.663587232657111	-3.534057373408226
p__Actinobacteria;g__Arcanobacterium	-0.08325610535558425	-0.37793898046389085
p__Actinobacteria;g__Arthrobacter	-1.7421897448819514	0.9143349581919624
p__Actinobacteria;g__Atopobium	4.416506906576789	-1.0262767618931816
p__Actinobacteria;g__Bifidobacterium	11.132123371191657	-0.6604469960965202
p__Actinobacteria;g__Brachybacterium	-2.8719666995328286	1.7820292764864876
p__Actinobacteria;g__Brevibacterium	-3.085073808602653	0.963492518063636
p__Actinobacteria;g__Cellulomonas	-3.2558492221158364	0.8280509763918831
p__Actinobacteria;g__Cellulosimicrobium	-3.2809489764493325	-0.5392190760411308
p__Actinobacteria;g__Collinsella	8.131663491554892	-0.8515337055958794
p__Actinobacteria;g__Corynebacterium	3.610672136374152	-0.39707207143679124
p__Actinobacteria;g__Cryocola	-3.654452661446891	0.26948389947042006
p__Actinobacteria;g__Curtobacterium	-2.923697809151969	1.64129484235868
p__Actinobacteria;g__Dermacoccus	-1.0362542666715022	1.476626997586341
p__Actinobacteria;g__Dermatophilus	-3.43730578797277	-0.01467184931412202
p__Actinobacteria;g__Dietzia	-2.7757352389615395	-0.2430657243765877
p__Actinobacteria;g__Eggerthella	6.421716590948738	-2.615111822489647
p__Actinobacteria;g__Frankia	-3.632690767220817	0.6626362258158638
p__Actinobacteria;g__Gardnerella	0.827393671103156	-0.41418826043978196
p__Actinobacteria;g__Geodermatophilus	-2.6913026370328286	2.0527734810076668
p__Actinobacteria;g__Georgenia	-3.5682233371060708	-0.15578682184591752
p__Actinobacteria;g__Gordonia	-2.7919028796475747	0.13535218476876754
