phylum,log fold change (VEN - US),se,ci.lo.adj,ci.up.adj,p.val,q.val,diff.abn,structural.zero (VEN),structural.zero (US)
p__Elusimicrobia,7.584046986631872,0,7.584046986631872,7.584046986631872,0,0,TRUE,0,1
p__Spirochaetes,6.0695369806288895,0,6.0695369806288895,6.0695369806288895,0,0,TRUE,0,1
p__Firmicutes,-2.281163111144606,0.3518980438563573,-3.3064977028992453,-1.2558285193899663,9.024221345623608e-11,1.082906561474833e-9,TRUE,0,0
p__Cyanobacteria,3.880505430519186,0.6350894304007321,2.0300286426646093,5.730982218373763,9.952404134612847e-10,1.1942884961535416e-8,TRUE,0,0
p__Actinobacteria,-2.872611244809617,0.47824209324506284,-4.266077818433061,-1.4791446711861729,1.8944855733495567e-9,2.273382688019468e-8,TRUE,0,0
p__Verrucomicrobia,-4.278861745389278,0.7752536280391981,-6.537738644791269,-2.0199848459872873,3.403417316451864e-8,4.0841007797422363e-7,TRUE,0,0
p__TM7,-2.024351707571852,0.3918456371866829,-3.1660826533671784,-0.8826207617765256,2.3890514510513244e-7,2.8668617412615892e-6,TRUE,0,0
p__Bacteroidetes,-1.7448313110768972,0.4199136605085864,-2.9683447951288757,-0.5213178270249186,3.249825822529234e-5,3.899790987035081e-4,TRUE,0,0
p__Synergistetes,-2.100475742331863,0.5346639150950587,-3.6583400632080116,-0.5426114214557143,8.544508590297391e-5,0.0010253410308356868,TRUE,0,0
p__Lentisphaerae,2.68862406807983,0.6944913488506527,0.6650663470781697,4.712181789081491,1.0823106516184066e-4,0.001298772781942088,TRUE,0,0
p__Tenericutes,-1.1043314014520984,0.4165755417529662,-2.318118521032101,0.10945571812790411,0.008025975079492056,0.09631170095390468,FALSE,0,0
p__Euryarchaeota,0.7372407525555573,0.785573041376803,-1.5517040930779835,3.026185598189098,0.3480002982413143,1,FALSE,0,0
p__Fusobacteria,0.18686167518861208,0.7333859280149182,-1.9500242047645076,2.3237475551417317,0.7988829036842826,1,FALSE,0,0
p__Proteobacteria,-0.3371960872438251,0.5199003769015641,-1.8520434983338543,1.177651323846204,0.5166110044833068,1,FALSE,0,0
