phylum,log fold change (VEN - US),se,ci.lo.adj,ci.up.adj,p.val,q.val,diff.abn,structural.zero (VEN),structural.zero (US)
p__Elusimicrobia,1.9275541366025317,0,1.9275541366025317,1.9275541366025317,0,0,TRUE,0,1
p__Spirochaetes,1.4608967603746512,0,1.4608967603746512,1.4608967603746512,0,0,TRUE,0,1
p__Cyanobacteria,4.168510147865499,0.5407822864715965,2.6053726970020374,5.73164759872896,1.2750834431095825e-14,1.4025917874205407e-13,TRUE,0,0
p__Lentisphaerae,2.1099683291315636,0.5133842411259522,0.6260252450800436,3.5939114131830836,3.9579565084654574e-5,4.3537521593120033e-4,TRUE,0,0
p__Fusobacteria,1.8312904673817514,0.5524766478096934,0.23435032987561444,3.4282306048878883,9.174382813659863e-4,0.010091821095025849,TRUE,0,0
p__Bacteroidetes,1.4908652040709232,0.6075545394460835,-0.26527821594872636,3.2470086240905727,0.014132460504413843,0.15545706554855226,FALSE,0,0
p__Actinobacteria,-0.2442623745839132,0.6761004515148601,-2.198538545876521,1.7100137967086944,0.71788925490171,1,FALSE,0,0
p__Euryarchaeota,0.3926315421562522,0.3882062297710943,-0.7294830529296493,1.5147461372421538,0.3118253152722156,1,FALSE,0,0
p__Firmicutes,-0.09166810198619046,0.2851755079692968,-0.915971204597582,0.732635000625201,0.747873555712841,1,FALSE,0,0
p__Proteobacteria,-0.03671221108261591,0.4737449241386648,-1.4060773911244573,1.3326529689592255,0.9382308632335749,1,FALSE,0,0
p__Tenericutes,-0.13088753363845385,0.5984004416911611,-1.860570928269798,1.5987958609928903,0.8268611527353459,1,FALSE,0,0
p__TM7,0.058655285470948004,0.3374188318442164,-0.9166577487698613,1.0339683197117573,0.8619949441749784,1,FALSE,0,0
p__Verrucomicrobia,-0.8199006570335587,0.8216535480250716,-3.1948997364834133,1.5550984224162958,0.3183440352821521,1,FALSE,0,0
