Sample.ID	age	sex	country
1	0.42	male	US
2	23	female	US
3	23	female	US
4	23	female	US
5	23	female	US
6	1.53	female	MA
7	1.53	female	MA
8	24	female	MA
9	NA	unknown	MA
10	1.3	female	MA
11	26	female	MA
12	0.43	male	MA
13	0.43	male	MA
14	NA	unknown	MA
15	38	female	MA
16	NA	unknown	MA
17	0.76	male	MA
18	NA	female	MA
19	NA	unknown	MA
20	2.39	female	MA
21	2.39	female	MA
22	NA	female	MA
23	NA	unknown	MA
24	1.22	male	MA
25	1.22	male	MA
26	NA	female	MA
27	2.21	female	MA
28	2.21	female	MA
29	33	female	MA
30	2.65	female	MA
31	2.65	female	MA
32	20	female	MA
33	0.44	male	MA
34	0.44	male	MA
35	34	female	MA
36	NA	unknown	MA
37	0.21	male	MA
38	0.21	male	MA
39	0.21	male	MA
40	NA	female	MA
41	NA	unknown	MA
42	2.02	male	MA
43	2.02	female	MA
44	2.02	male	MA
45	32	female	MA
46	NA	unknown	MA
47	1.35	female	MA
48	1.35	female	MA
49	0.03	female	MA
50	21	female	MA
51	0.56	female	MA
52	0.56	female	MA
53	NA	female	MA
54	NA	unknown	MA
55	NA	female	MA
56	NA	unknown	MA
57	0.67	male	MA
58	0.67	male	MA
59	33	female	MA
60	0.19	male	MA
61	0.19	male	MA
62	23	female	MA
63	NA	unknown	MA
64	0.11	female	MA
65	0.11	female	MA
66	NA	female	MA
67	NA	unknown	MA
68	0.8	female	MA
69	0.8	female	MA
70	44	female	MA
71	0.93	female	MA
72	0.93	female	MA
73	32	female	MA
74	0.95	male	MA
75	0.95	male	MA
76	24	female	MA
77	NA	unknown	MA
78	0.05	male	MA
79	0.05	male	MA
80	NA	female	MA
81	0.39	male	MA
82	0.39	female	MA
83	23	female	MA
84	1.89	male	MA
85	NA	unknown	MA
86	0.94	female	MA
87	0.94	female	MA
88	27	female	MA
89	NA	unknown	MA
90	0.6	male	MA
91	0.6	male	MA
92	NA	female	MA
93	NA	unknown	MA
94	2.05	female	MA
95	2.05	female	MA
96	27	female	MA
97	NA	unknown	MA
98	1.7	male	MA
99	1.7	male	MA
100	26	female	MA
101	1.89	male	MA
102	1.89	male	MA
103	25	female	MA
104	NA	unknown	MA
105	0.76	male	MA
106	0.76	male	MA
107	28	female	MA
108	NA	unknown	MA
109	1.25	female	MA
110	1.25	female	MA
111	24	female	MA
112	NA	unknown	MA
113	2.02	female	MA
114	2.02	female	MA
115	24.03	female	MA
116	NA	unknown	MA
117	16.72	female	MA
118	16.72	female	MA
119	NA	female	MA
120	28	female	US
121	28	female	US
122	28	female	US
123	57	female	US
124	25	female	US
125	25	female	US
126	53	female	US
127	27	female	US
128	27	female	US
129	NA	female	US
130	25	female	US
131	25	female	US
132	NA	female	US
133	24	female	US
134	24	female	US
135	NA	female	US
136	30	female	US
137	30	female	US
138	56	female	US
139	28	female	US
140	26	female	US
141	26	female	US
142	NA	female	US
143	NA	female	US
144	25	female	US
145	25	female	US
146	NA	female	US
147	26	female	US
148	26	female	US
149	NA	female	US
150	1.25	female	US
151	33	female	US
152	1.3	male	US
153	4.5	female	US
154	6	female	US
155	3	male	US
156	3	female	US
157	1.6	male	US
158	0.83	female	US
159	6	male	US
160	3	female	US
161	40	female	US
162	5	female	US
163	24	female	US
164	6	male	US
165	34	female	US
166	5	female	US
167	7	female	US
168	45	female	US
169	9	female	US
170	44	female	US
171	1	male	US
172	36	female	US
173	6	female	US
174	29	female	US
175	1	male	US
176	26	female	US
177	1	female	US
178	35	female	US
179	1	female	US
180	1	male	US
181	33	female	US
182	0.08	male	US
183	0.08	male	US
184	0.42	male	US
185	0.42	male	US
186	0.5	female	US
187	0.5	female	US
188	0.5	female	US
189	0.5	female	US
190	0.58	female	US
191	0.58	female	US
192	0.67	female	US
193	0.67	female	US
194	0.75	male	US
195	0.75	male	US
196	0.75	female	US
197	0.92	male	US
198	0.92	male	US
199	0.42	female	US
200	0.42	male	US
201	0.08	male	US
202	0.08	male	US
203	0.08	male	US
204	0.08	male	US
205	0.25	female	US
206	0.25	female	US
207	0.17	female	US
208	0.17	female	US
209	0.17	female	US
210	0.17	female	US
211	0.25	male	US
212	0.25	male	US
213	0.25	female	US
214	0.25	female	US
215	0.33	male	US
216	0.33	female	US
217	0.33	male	US
218	0.33	male	US
219	0.42	female	US
220	0.42	female	US
221	57	male	US
222	54	female	US
223	14	female	US
224	14	female	US
225	46	female	US
226	16	female	US
227	16	male	US
228	43	male	US
229	46	female	US
230	13	female	US
231	13	female	US
232	45	male	US
233	43	female	US
234	13	male	US
235	13	male	US
236	48	male	US
237	47	female	US
238	14	male	US
239	14	male	US
240	51	male	US
241	49	female	US
242	14	female	US
243	14	male	US
244	48	male	US
245	49	female	US
246	16	female	US
247	16	male	US
248	11	male	US
249	46	male	US
250	42	female	US
251	13	male	US
252	13	male	US
253	43	female	US
254	14	male	US
255	14	male	US
256	50	female	US
257	15	female	US
258	15	male	US
