Sample.ID	age	sex	country
1	0.5	unknown	VEN
2	1	male	VEN
3	1	unknown	VEN
4	1.17	female	VEN
5	1.17	female	VEN
6	1.5	unknown	VEN
7	1.67	male	VEN
8	2	male	VEN
9	3	female	VEN
10	4	unknown	VEN
11	0.25	male	VEN
12	15	female	VEN
13	4	unknown	VEN
14	5	unknown	VEN
15	6	female	VEN
16	7	unknown	VEN
17	7	unknown	VEN
18	8	unknown	VEN
19	9	unknown	VEN
20	9	unknown	VEN
21	11	unknown	VEN
22	39	male	VEN
23	35	female	VEN
24	1	female	VEN
25	45	unknown	VEN
26	49	unknown	VEN
27	56	female	VEN
28	66	female	VEN
29	74	male	VEN
30	10	female	VEN
31	3	female	VEN
32	4	male	VEN
33	28	female	VEN
34	5	male	VEN
35	6	male	VEN
36	9	female	VEN
37	11	female	VEN
38	11	male	VEN
39	73	female	VEN
40	18	female	VEN
41	11	male	VEN
42	60	female	VEN
43	80	male	VEN
44	14	female	VEN
45	29	female	VEN
46	53	male	VEN
47	22	female	VEN
48	24	female	VEN
49	37	female	VEN
50	23	female	VEN
51	60	female	VEN
52	40	female	VEN
53	4	male	VEN
54	0.33	female	VEN
55	0.917	female	VEN
56	0.75	male	VEN
57	3	male	VEN
58	1	male	VEN
59	1	male	VEN
60	2	male	VEN
61	NA	female	VEN
62	0.417	female	VEN
63	2	male	VEN
64	1	male	VEN
65	5	male	VEN
66	4	male	VEN
67	11	male	VEN
68	12	female	VEN
69	11	female	VEN
70	12	female	VEN
71	11	male	VEN
72	38	female	VEN
73	24	female	VEN
74	0.417	female	VEN
75	2	male	VEN
76	4	male	VEN
77	38	female	VEN
78	21	female	VEN
79	20	female	VEN
80	NA	female	VEN
81	33	female	VEN
82	66	male	VEN
83	0.5	female	VEN
84	2	male	VEN
85	31	female	VEN
86	1	female	VEN
87	1	male	VEN
88	20	female	VEN
89	2	female	VEN
90	1	male	VEN
91	24	female	VEN
92	4	male	VEN
93	7	male	VEN
94	38	female	VEN
95	10	male	VEN
96	83.2	male	VEN
97	11	female	VEN
98	29	female	VEN
99	60	male	VEN
100	1.53	female	MA
101	1.53	female	MA
102	24	female	MA
103	NA	unknown	MA
104	1.3	female	MA
105	26	female	MA
106	0.43	male	MA
107	0.43	male	MA
108	NA	unknown	MA
109	38	female	MA
110	NA	unknown	MA
111	0.76	male	MA
112	NA	female	MA
113	NA	unknown	MA
114	2.39	female	MA
115	2.39	female	MA
116	NA	female	MA
117	NA	unknown	MA
118	1.22	male	MA
119	1.22	male	MA
120	NA	female	MA
121	2.21	female	MA
122	2.21	female	MA
123	33	female	MA
124	2.65	female	MA
125	2.65	female	MA
126	20	female	MA
127	0.44	male	MA
128	0.44	male	MA
129	34	female	MA
130	NA	unknown	MA
131	0.21	male	MA
132	0.21	male	MA
133	0.21	male	MA
134	NA	female	MA
135	NA	unknown	MA
136	2.02	male	MA
137	2.02	female	MA
138	2.02	male	MA
139	32	female	MA
140	NA	unknown	MA
141	1.35	female	MA
142	1.35	female	MA
143	0.03	female	MA
144	21	female	MA
145	0.56	female	MA
146	0.56	female	MA
147	NA	female	MA
148	NA	unknown	MA
149	NA	female	MA
150	NA	unknown	MA
151	0.67	male	MA
152	0.67	male	MA
153	33	female	MA
154	0.19	male	MA
155	0.19	male	MA
156	23	female	MA
157	NA	unknown	MA
158	0.11	female	MA
159	0.11	female	MA
160	NA	female	MA
161	NA	unknown	MA
162	0.8	female	MA
163	0.8	female	MA
164	44	female	MA
165	0.93	female	MA
166	0.93	female	MA
167	32	female	MA
168	0.95	male	MA
169	0.95	male	MA
170	24	female	MA
171	NA	unknown	MA
172	0.05	male	MA
173	0.05	male	MA
174	NA	female	MA
175	0.39	male	MA
176	0.39	female	MA
177	23	female	MA
178	1.89	male	MA
179	NA	unknown	MA
180	0.94	female	MA
181	0.94	female	MA
182	27	female	MA
183	NA	unknown	MA
184	0.6	male	MA
185	0.6	male	MA
186	NA	female	MA
187	NA	unknown	MA
188	2.05	female	MA
189	2.05	female	MA
190	27	female	MA
191	NA	unknown	MA
192	1.7	male	MA
193	1.7	male	MA
194	26	female	MA
195	1.89	male	MA
196	1.89	male	MA
197	25	female	MA
198	NA	unknown	MA
199	0.76	male	MA
200	0.76	male	MA
201	28	female	MA
202	NA	unknown	MA
203	1.25	female	MA
204	1.25	female	MA
205	24	female	MA
206	NA	unknown	MA
207	2.02	female	MA
208	2.02	female	MA
209	24.03	female	MA
210	NA	unknown	MA
211	16.72	female	MA
212	16.72	female	MA
213	NA	female	MA
