Sample.ID	age	sex	country
1	0.5	unknown	VEN
2	1	male	VEN
3	1	unknown	VEN
4	1.17	female	VEN
5	1.17	female	VEN
6	1.5	unknown	VEN
7	1.67	male	VEN
8	2	male	VEN
9	3	female	VEN
10	4	unknown	VEN
11	0.25	male	VEN
12	15	female	VEN
13	4	unknown	VEN
14	5	unknown	VEN
15	6	female	VEN
16	7	unknown	VEN
17	7	unknown	VEN
18	8	unknown	VEN
19	9	unknown	VEN
20	9	unknown	VEN
21	11	unknown	VEN
22	39	male	VEN
23	35	female	VEN
24	1	female	VEN
25	45	unknown	VEN
26	49	unknown	VEN
27	56	female	VEN
28	66	female	VEN
29	74	male	VEN
30	10	female	VEN
31	3	female	VEN
32	4	male	VEN
33	28	female	VEN
34	5	male	VEN
35	6	male	VEN
36	9	female	VEN
37	11	female	VEN
38	11	male	VEN
39	73	female	VEN
40	18	female	VEN
41	11	male	VEN
42	60	female	VEN
43	80	male	VEN
44	14	female	VEN
45	29	female	VEN
46	53	male	VEN
47	0.42	male	US
48	22	female	VEN
49	24	female	VEN
50	37	female	VEN
51	23	female	VEN
52	60	female	VEN
53	40	female	VEN
54	4	male	VEN
55	0.33	female	VEN
56	0.917	female	VEN
57	0.75	male	VEN
58	3	male	VEN
59	1	male	VEN
60	1	male	VEN
61	2	male	VEN
62	NA	female	VEN
63	0.417	female	VEN
64	2	male	VEN
65	1	male	VEN
66	5	male	VEN
67	4	male	VEN
68	11	male	VEN
69	12	female	VEN
70	11	female	VEN
71	12	female	VEN
72	11	male	VEN
73	38	female	VEN
74	24	female	VEN
75	0.417	female	VEN
76	2	male	VEN
77	4	male	VEN
78	38	female	VEN
79	21	female	VEN
80	20	female	VEN
81	NA	female	VEN
82	33	female	VEN
83	66	male	VEN
84	0.5	female	VEN
85	2	male	VEN
86	31	female	VEN
87	1	female	VEN
88	1	male	VEN
89	20	female	VEN
90	2	female	VEN
91	1	male	VEN
92	24	female	VEN
93	4	male	VEN
94	7	male	VEN
95	38	female	VEN
96	10	male	VEN
97	83.2	male	VEN
98	11	female	VEN
99	29	female	VEN
100	60	male	VEN
101	23	female	US
102	23	female	US
103	23	female	US
104	23	female	US
105	28	female	US
106	28	female	US
107	28	female	US
108	57	female	US
109	25	female	US
110	25	female	US
111	53	female	US
112	27	female	US
113	27	female	US
114	NA	female	US
115	25	female	US
116	25	female	US
117	NA	female	US
118	24	female	US
119	24	female	US
120	NA	female	US
121	30	female	US
122	30	female	US
123	56	female	US
124	28	female	US
125	26	female	US
126	26	female	US
127	NA	female	US
128	NA	female	US
129	25	female	US
