taxon,mean.difference (grp1 - grp2),se,effect.size (grp1 - grp2),p.val,q.val,diff.abn
taxon1,0.0963206712073294,0.14426874762011074,0.667647517541093,0.5043586183257556,1,FALSE
taxon2,0.08548979269483536,0.13694461245201694,0.624265468820758,0.5324532576565635,1,FALSE
taxon3,-0.07889946601411435,0.13086227925327845,-0.6029198518039545,0.5465620089015306,1,FALSE
taxon4,-1.2662573063995883,0.16532445160204984,-7.659225807974119,1.8705725474802624e-14,7.818993248467497e-12,TRUE
taxon5,-1.1806887314123262,0,Inf,0,0,TRUE
taxon6,-0.3955359282694968,0.14578277926217653,-2.7131869091215695,0.006663950754317019,1,FALSE
taxon7,-0.3402161331486844,0.1727571853834051,-1.9693313038970433,0.04891505869615296,1,FALSE
taxon8,-0.21571295566192594,0.10984692842413557,-1.9637595584741856,0.04955798206203457,1,FALSE
taxon9,1.2490088299791078,0.1351163341234629,9.243951429571961,2.375584472368627e-20,9.92994309450086e-18,TRUE
taxon10,-0.009200372470983542,0.1428853012018518,-0.06438991550282923,0.9486597596276268,1,FALSE
taxon11,-1.0411532848514842,0,Inf,0,0,TRUE
taxon12,-0.9500687405900338,0,Inf,0,0,TRUE
taxon13,-0.10888602559493066,0.12121930887227518,-0.8982564461711319,0.3690488465207687,1,FALSE
taxon14,-0.07522342900761803,0.1244537051544287,-0.6044290036546267,0.545558457626224,1,FALSE
taxon15,-0.2678416966616939,0.15404706171028898,-1.7387004574317333,0.0820874655414857,1,FALSE
taxon16,0.08168548631624678,0.09528198308050256,0.8573025421525046,0.3912777039477743,1,FALSE
taxon17,-0.22571825451512673,0.12998439462590722,-1.7365027176126786,0.08247498426700114,1,FALSE
taxon18,0.001841978898572183,0.2650189719094566,0.006950366176809004,0.9944544547842877,1,FALSE
taxon19,0.08345502988613934,0.12144858024224552,0.687163486964418,0.49197971068117996,1,FALSE
taxon20,-1.8453456093341294,0,Inf,0,0,TRUE
taxon21,-5.32475857552622,0,Inf,0,0,TRUE
taxon22,0.12374881897395701,0.12273922558271814,1.0082255154083442,0.31334621135515506,1,FALSE
taxon23,-0.35529822588012583,0.1188328389699492,-2.9898993322037413,0.0027906940264619006,1,FALSE
taxon24,-0.04473026509661571,0.1102875195367615,-0.40557866642114504,0.6850522065673329,1,FALSE
taxon25,-1.1221680506585867,0,Inf,0,0,TRUE
taxon26,0.06749390030715474,0.10528426128110244,0.6410635311098419,0.5214814071151884,1,FALSE
taxon27,0.06745433178400528,0.10386011866555157,0.6494728934522064,0.5160327616214873,1,FALSE
taxon28,0.11119690796161003,0.12755497037360145,0.8717567620918294,0.38334108707385633,1,FALSE
taxon29,-0.958447344319618,0.1004613121468521,-9.540462132513072,1.4219723002019203e-21,5.943844214844027e-19,TRUE
taxon30,-0.664485275062582,0,Inf,0,0,TRUE
taxon31,0.041726768562549144,0.12366380518487205,0.33742103035054943,0.7357995333364271,1,FALSE
taxon32,-0.8976104596983554,0,Inf,0,0,TRUE
taxon33,-1.0510733563153387,0,Inf,0,0,TRUE
taxon34,0.005897566129644427,0.1279205990578659,0.046103334201684096,0.9632278885274352,1,FALSE
taxon35,-1.7177249436262407,0,Inf,0,0,TRUE
taxon36,-0.2764598172766404,0.12316163620157412,-2.244691007710946,0.024787975723215595,1,FALSE
taxon37,0.028037885086072967,0.15424796324532672,0.18177150930336472,0.8557620442882607,1,FALSE
taxon38,-0.9316447833382097,0,Inf,0,0,TRUE
taxon39,-1.6637610159989578,0,Inf,0,0,TRUE
taxon40,-0.01478562456575705,0.13588651206506686,-0.10880862523483725,0.9133542824929918,1,FALSE
taxon41,1.1153918153555422,0.17187908359099321,6.489398198152779,8.617991506108268e-11,3.602320449553256e-8,TRUE
taxon42,-0.07012946685833166,0.1458450832872845,-0.4808490302013897,0.6306238003971777,1,FALSE
taxon43,-1.7049915813338008,0,Inf,0,0,TRUE
taxon44,0.22380529446674635,0.12021331545067658,1.8617346475114354,0.062640502279744,1,FALSE
taxon45,-0.10196297441194202,0.10526563633848367,-0.9686254504183884,0.33273210040580725,1,FALSE
taxon46,-0.07488044957718132,0.14948269371708967,-0.5009305606901877,0.6164199936502258,1,FALSE
taxon47,0.3744469074471575,0.12914468060484702,2.899437326364829,0.003738330734784345,1,FALSE
taxon48,-0.8304135986988566,0,Inf,0,0,TRUE
taxon49,-1.7580058487820847,0,Inf,0,0,TRUE
taxon50,-1.7312734933459433,0,Inf,0,0,TRUE
taxon51,0.08294906402372298,0.11987239408215809,0.6919780376361833,0.4889511213460667,1,FALSE
taxon52,-0.15055387260082842,0.13535417108292297,-1.112295774827608,0.26601099993924066,1,FALSE
taxon53,-0.15353715764646902,0.12909338076778618,-1.189349575735819,0.23430213439006944,1,FALSE
taxon54,0.21888601698017357,0.10882539328549508,2.011350571515445,0.04428844034283835,1,FALSE
taxon55,0.15017594160607212,0.1148315114615646,1.3077938250106347,0.19094324921728095,1,FALSE
taxon56,-0.9604337085279329,0,Inf,0,0,TRUE
taxon57,-0.029374349819333068,0.11237796911533227,-0.26138886518928367,0.7937926429366873,1,FALSE
taxon58,0.33488944844902424,0.10340509351624437,3.238616561924147,0.0012011093017525805,0.5020636881325786,FALSE
taxon59,-0.2771934081438001,0.12862011282245517,-2.155132677627431,0.031151453236200728,1,FALSE
taxon60,0.10977761115593831,0.12041674171654677,0.911647413732118,0.3619543544818692,1,FALSE
taxon61,-5.050889772693165,0,Inf,0,0,TRUE
taxon62,0.039083351392938614,0.1238661723940167,0.31552885374236783,0.7523601469639665,1,FALSE
taxon63,0.11904911033870225,0.12749177281606727,0.9337787663401208,0.3504180247331584,1,FALSE
taxon64,-0.17629892115218537,0.13422480937479334,-1.3134600225797997,0.18902798341936586,1,FALSE
taxon65,0.04796570915833409,0.13764528977459423,0.3484733058202136,0.7274847578782748,1,FALSE
taxon66,0.28436589887119,0.108431775841272,2.6225328937474877,0.00872788421638014,1,FALSE
taxon67,-0.2406635166575839,0.13423283371370603,-1.7928811453900686,0.07299193077489574,1,FALSE
taxon68,-0.5193901632648702,0.11757424719914596,-4.417550404427705,9.982579596685469e-6,0.004172718271414526,TRUE
taxon69,0.21063616701061205,0.11032461296076447,1.909240026842624,0.0562311349555931,1,FALSE
taxon70,-0.2746614810508152,0.13564108087960433,-2.0249136859548185,0.04287622803102688,1,FALSE
taxon71,0.07441367862695941,0.11690591098898341,0.636526228635024,0.5244334911022573,1,FALSE
taxon72,-0.17402553244896957,0.13334992170857363,-1.3050291310203352,0.19188292850402172,1,FALSE
taxon73,0.2563850375987635,0.1159110944251185,2.211911110583075,0.026972807410908867,1,FALSE
taxon74,0.05924642248644052,0.1263379444704186,0.4689519267927679,0.6391039984693931,1,FALSE
taxon75,0.12900499240891572,0.11654682356396011,1.1068941088567605,0.2683397132317503,1,FALSE
taxon76,-0.07784234387014044,0.10897802862012267,-0.7142939256268299,0.4750454475646758,1,FALSE
taxon77,-0.6724774973961227,0.10991061590874646,-6.118403503028759,9.451748943345451e-10,3.950831058318399e-7,TRUE
taxon78,-0.09203059413058357,0.1063859886706761,-0.8650631091606389,0.38700415136048094,1,FALSE
taxon79,-0.042537955839741404,0.12903435301124827,-0.32966380539012935,0.7416540053080691,1,FALSE
taxon80,-5.323323815324547,0,Inf,0,0,TRUE
taxon81,0.043689819156822296,0.12325197643421436,0.35447560697042213,0.7229824816128934,1,FALSE
taxon82,-0.8877110549733898,0.11749498306650219,-7.55531029329946,4.1786245772510354e-14,1.7466650732909327e-11,TRUE
taxon83,1.1706386063281016,0.1636703352875512,7.152417719872176,8.526263954958028e-13,3.5639783331724554e-10,TRUE
taxon84,0.048725448825948814,0.12794497024649207,0.3808312959241533,0.7033284352632259,1,FALSE
taxon85,-0.17711800601552374,0.1334900280018105,-1.3268257462132043,0.18456633164479092,1,FALSE
taxon86,0.274894300686537,0.13526155665729334,2.032316553793813,0.04212161969192171,1,FALSE
taxon87,0.863173044992718,0.16572451774660366,5.208481259921529,1.9039257623031157e-7,7.958409686427023e-5,TRUE
taxon88,0.21391615096670735,0.1357436010071387,1.5758838676709157,0.11505256948113154,1,FALSE
taxon89,0.02537961434568714,0.08031469730410581,0.3160021166435959,0.7520009015465994,1,FALSE
taxon90,-0.1447318753943303,0.11611946670126226,-1.2464049268042066,0.21261577340447294,1,FALSE
taxon91,-0.9374866302230221,0,Inf,0,0,TRUE
taxon92,0.037387594944446156,0.10829106327836677,0.345250972818872,0.7299057011034609,1,FALSE
taxon93,-1.0249312087140983,0.10421677061332905,-9.834609177412107,7.987713918940829e-23,3.338864418117266e-20,TRUE
taxon94,-1.6888726551871664,0,Inf,0,0,TRUE
taxon95,1.4048112571404532,0.15229401176069193,9.224336800240783,2.853210433450477e-20,1.1926419611822995e-17,TRUE
taxon96,-0.5351553554999156,0.10446705818982684,-5.1227187284960785,3.011614269906175e-7,1.258854764820781e-4,TRUE
taxon97,0.06608154649956993,0.08902263054633439,0.7423005374479009,0.4579052662709911,1,FALSE
taxon98,-0.14911249260190806,0.12129050130540049,-1.2293831008782283,0.21892820323280776,1,FALSE
taxon99,-0.04690061219859509,0.12714861314831202,-0.3688645203222787,0.7122287100558822,1,FALSE
taxon100,-0.14755691145414973,0.15766334129694218,-0.9358986701686217,0.3493253619550008,1,FALSE
taxon101,-0.6482850236995146,0.1360614577948565,-4.764648521383265,1.8918312701538256e-6,7.907854709242991e-4,TRUE
taxon102,0.0901066731941279,0.1286400865722599,0.7004556324168287,0.483642803799455,1,FALSE
taxon103,0.12544531781657864,0.1138405923289238,1.1019383793623005,0.27048846184628245,1,FALSE
